,코드,행정구역,산업분류,총사업체수,총종사자수,자영업자 종사자수,무급가족 종사자수,상용 종사자수,임시및일용 종사자수,기타 종사자수
3827,11010Q,종로구,보건업 및 사회복지 서비스업(86~87),744.0,15888.0,577.0,11.0,14113.0,1014.0,173.0
5831,11020Q,중구,보건업 및 사회복지 서비스업(86~87),747.0,10104.0,596.0,12.0,8199.0,1231.0,66.0
7835,11030Q,용산구,보건업 및 사회복지 서비스업(86~87),579.0,6658.0,427.0,13.0,5192.0,727.0,299.0
9839,11040Q,성동구,보건업 및 사회복지 서비스업(86~87),748.0,8539.0,576.0,9.0,7044.0,819.0,91.0
11843,11050Q,광진구,보건업 및 사회복지 서비스업(86~87),909.0,11615.0,762.0,12.0,8990.0,1262.0,589.0
13847,11060Q,동대문구,보건업 및 사회복지 서비스업(86~87),1031.0,14494.0,800.0,26.0,12065.0,989.0,614.0
15851,11070Q,중랑구,보건업 및 사회복지 서비스업(86~87),999.0,11920.0,839.0,26.0,9868.0,853.0,334.0
17855,11080Q,성북구,보건업 및 사회복지 서비스업(86~87),1044.0,12835.0,774.0,15.0,10116.0,1169.0,761.0
19859,11090Q,강북구,보건업 및 사회복지 서비스업(86~87),813.0,9195.0,602.0,8.0,7040.0,1154.0,391.0
21863,11100Q,도봉구,보건업 및 사회복지 서비스업(86~87),837.0,11640.0,626.0,7.0,7483.0,2653.0,871.0
23867,11110Q,노원구,보건업 및 사회복지 서비스업(86~87),1454.0,18684.0,1181.0,14.0,14770.0,1342.0,1377.0
25871,11120Q,은평구,보건업 및 사회복지 서비스업(86~87),1190.0,13963.0,960.0,17.0,10214.0,1790.0,982.0
27875,11130Q,서대문구,보건업 및 사회복지 서비스업(86~87),777.0,15362.0,593.0,12.0,12735.0,1652.0,370.0
29879,11140Q,마포구,보건업 및 사회복지 서비스업(86~87),1184.0,10902.0,961.0,24.0,8004.0,1184.0,729.0
31883,11150Q,양천구,보건업 및 사회복지 서비스업(86~87),1203.0,14213.0,966.0,16.0,10625.0,1442.0,1164.0
33887,11160Q,강서구,보건업 및 사회복지 서비스업(86~87),1582.0,19576.0,1264.0,12.0,13695.0,3468.0,1137.0
35891,11170Q,구로구,보건업 및 사회복지 서비스업(86~87),1123.0,14882.0,882.0,14.0,11832.0,1189.0,965.0
37895,11180Q,금천구,보건업 및 사회복지 서비스업(86~87),685.0,7162.0,452.0,6.0,5889.0,640.0,175.0
39899,11190Q,영등포구,보건업 및 사회복지 서비스업(86~87),1208.0,17253.0,947.0,17.0,14213.0,1710.0,366.0
41903,11200Q,동작구,보건업 및 사회복지 서비스업(86~87),1015.0,13365.0,783.0,10.0,10782.0,1279.0,511.0
43907,11210Q,관악구,보건업 및 사회복지 서비스업(86~87),1178.0,12906.0,911.0,10.0,8640.0,2702.0,643.0
45911,11220Q,서초구,보건업 및 사회복지 서비스업(86~87),1661.0,20757.0,1471.0,18.0,17964.0,811.0,493.0
47915,11230Q,강남구,보건업 및 사회복지 서비스업(86~87),3048.0,41288.0,2791.0,22.0,36703.0,1284.0,488.0
49919,11240Q,송파구,보건업 및 사회복지 서비스업(86~87),1812.0,26546.0,1553.0,26.0,21969.0,2490.0,508.0
